timestamps,eeg_1,eeg_2,eeg_3,eeg_4,eeg_5,eeg_6,acc_1,acc_2,acc_3,drlref_1,drlref_2,note,ppg_1,ppg_2,ppg_3
1755583558.7687564,,,,,,,,,,1603663.0,1599633.8,,,,
1755583558.7707510,900.9524,1633.4799,59.23077,767.5824,nan,nan,,,,,,,,,
1755583558.7764022,834.0659,1617.3627,67.289375,765.16486,nan,nan,,,,,,,,,
1755583558.7769396,,,,,,,-0.036987305,0.18786621,0.9781494,,,,,,
1755583558.7820535,883.6264,1611.3187,45.531136,827.2161,nan,nan,,,,,,,,,
1755583558.7877047,987.98535,1573.0403,89.85348,828.4249,nan,nan,,,,,,,,,
1755583558.7933557,1012.5641,1610.5128,115.64103,776.04395,nan,nan,,,,,,,,,
1755583558.7990069,1004.90845,1629.8535,86.630035,771.2088,nan,nan,,,,,,,,,
1755583558.8037424,,,,,,,-0.074523926,0.17181396,0.97387695,,,,,,
1755583558.8046582,999.2674,1620.989,131.35532,829.2308,nan,nan,,,,,,,,,
1755583558.8103092,959.7802,1625.0183,183.33333,901.3553,nan,nan,,,,,,,,,
1755583558.8159604,852.1978,1624.2124,362.23444,861.06226,nan,nan,,,,,,,,,
1755583558.8216116,761.9414,1623.8096,529.45056,861.4652,nan,nan,,,,,,,,,
1755583558.8237724,,,,,,,,,,1603663.0,1599633.8,,,,
1755583558.8272626,751.06226,1624.2124,507.28937,973.47986,nan,nan,,,,,,,,,
1755583558.8305454,,,,,,,-0.07470703,0.17163086,0.97509766,,,,,,
1755583558.8329139,791.75824,1624.2124,739.3773,1074.2124,nan,nan,,,,,,,,,
1755583558.8385651,821.5751,1623.8096,1107.2528,1170.5128,nan,nan,,,,,,,,,
1755583558.8442161,823.1868,1624.2124,1138.2784,1281.7216,nan,nan,,,,,,,,,
1755583558.8498673,803.44324,1624.2124,1064.1392,1369.1575,nan,nan,,,,,,,,,
1755583558.8555186,832.0513,1623.8096,1100.8059,1410.6593,nan,nan,,,,,,,,,
1755583558.8573482,,,,,,,-0.06274414,0.16778564,0.9737549,,,,,,
1755583558.8611696,886.8498,1624.2124,1172.9304,1357.0696,nan,nan,,,,,,,,,
1755583558.8668208,873.95605,1624.2124,1149.1575,1266.0073,nan,nan,,,,,,,,,
1755583558.8724720,840.10986,1620.1831,991.2088,1253.5165,nan,nan,,,,,,,,,
1755583558.8781230,830.0366,1622.1978,1016.99634,1260.7693,nan,nan,,,,,,,,,
1755583558.8787885,,,,,,,,,,1604468.9,1599633.8,,,,
1755583558.8837743,848.1685,1624.6154,1256.337,1216.4469,nan,nan,,,,,,,,,
1755583558.8841512,,,,,,,-0.05432129,0.1673584,0.97680664,,,,,,
1755583558.8894255,876.3736,1623.8096,1262.381,1178.1685,nan,nan,,,,,,,,,
1755583558.8950765,848.5714,1624.2124,1231.3553,1139.0842,nan,nan,,,,,,,,,
1755583558.9007277,840.10986,1623.4066,1227.7289,1155.2014,nan,nan,,,,,,,,,
1755583558.9063790,904.57874,1624.6154,1262.7839,1173.3334,nan,nan,,,,,,,,,
1755583558.9109542,,,,,,,-0.052001953,0.17211914,0.9817505,,,,,,
