timestamps,eeg_1,eeg_2,eeg_3,eeg_4,eeg_5,eeg_6,acc_1,acc_2,acc_3,drlref_1,drlref_2,note,ppg_1,ppg_2,ppg_3
1755585013.8933995,827.2161,833.2601,910.2198,840.5128,nan,nan,,,,,,,,,
1755585013.8951848,,,,,,,-0.28137207,0.12677002,0.92352295,,,,,,
1755585013.8967338,,,,,,,,,,,,,nan,115232456.0,nan
1755585013.8973105,831.6484,832.8571,905.78754,819.9634,nan,nan,,,,,,,,,
1755585013.9012218,815.9341,830.84247,909.011,811.0989,nan,nan,,,,,,,,,
1755585013.9051328,799.41394,836.4835,917.8755,827.619,nan,nan,,,,,,,,,
1755585013.9090438,825.2015,846.55676,924.7253,848.1685,nan,nan,,,,,,,,,
1755585013.9123793,,,,,,,,,,,,,nan,115170400.0,nan
1755585013.9129548,843.73627,836.08057,917.8755,842.1245,nan,nan,,,,,,,,,
1755585013.9146435,,,,,,,-0.3106079,0.12573242,0.9616699,,,,,,
1755585013.9157085,,,,,,,,,,1581098.9,1599633.8,,,,
1755585013.9168658,811.50183,824.7985,910.6227,828.022,nan,nan,,,,,,,,,
1755585013.9207768,794.9817,833.2601,917.47253,830.4396,nan,nan,,,,,,,,,
1755585013.9246881,817.1429,838.9011,923.91943,848.97437,nan,nan,,,,,,,,,
1755585013.9280250,,,,,,,,,,,,,nan,115174430.0,nan
1755585013.9285991,824.3956,826.8132,917.8755,842.9304,nan,nan,,,,,,,,,
1755585013.9325101,818.3516,824.3956,918.2784,827.2161,nan,nan,,,,,,,,,
1755585013.9341025,,,,,,,-0.315979,0.12658691,0.9885864,,,,,,
1755585013.9364212,813.5165,828.4249,919.0842,836.8865,nan,nan,,,,,,,,,
1755585013.9403322,819.15753,830.0366,919.0842,850.58606,nan,nan,,,,,,,,,
1755585013.9436707,,,,,,,,,,,,,nan,115243736.0,nan
1755585013.9442434,838.49817,831.6484,923.5165,850.989,nan,nan,,,,,,,,,
1755585013.9481544,832.0513,821.5751,922.3077,838.49817,nan,nan,,,,,,,,,
1755585013.9509180,,,,,,,,,,1581904.8,1599633.8,,,,
1755585013.9520655,816.337,826.8132,921.9048,846.55676,nan,nan,,,,,,,,,
1755585013.9535613,,,,,,,-0.32019043,0.123291016,0.99572754,,,,,,
1755585013.9559765,810.696,827.619,918.2784,859.0476,nan,nan,,,,,,,,,
1755585013.9593163,,,,,,,,,,,,,nan,115220370.0,nan
1755585013.9598875,799.81683,816.337,909.41394,847.76556,nan,nan,,,,,,,,,
1755585013.9637988,821.5751,823.5897,909.81683,848.97437,nan,nan,,,,,,,,,
1755585013.9677098,820.3663,830.0366,919.4872,885.2381,nan,nan,,,,,,,,,
1755585013.9716208,799.81683,826.8132,925.12823,894.90845,nan,nan,,,,,,,,,
1755585013.9730201,,,,,,,-0.30548096,0.12261963,0.9707031,,,,,,
1755585013.9749620,,,,,,,,,,,,,nan,115214730.0,nan
1755585013.9755318,816.7399,824.3956,919.4872,860.2564,nan,nan,,,,,,,,,
1755585013.9794428,839.707,833.663,917.47253,855.42126,nan,nan,,,,,,,,,
1755585013.9833541,827.2161,832.4542,916.26373,848.1685,nan,nan,,,,,,,,,
1755585013.9861274,,,,,,,,,,1581098.9,1598827.9,,,,
